Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
7905791,"A La Fin De L'hiver","Robert Silverberg","Silverberg, Robert","",="2221056523",="9782221056523",4,"3.68",,,"",,1988,2012/08/12,2010/10/09,"science-fiction, maison","science-fiction (#205), maison (#331)","read",,"",,,,,0,,,,,
6624855,"La Reine Du Printemps","Robert Silverberg","Silverberg, Robert","",="2253071838",="9782253071839",0,"3.82","Librairie générale française",,"604",1996,1990,,2010/10/09,"science-fiction, maison, currently-reading","science-fiction (#208), maison (#333), currently-reading (#11)","currently-reading",,"",,,,,0,,,,,
9482091,"La Breche Dans L'espace","Philip K. Dick","Dick, Philip K.","",="2253052973",="9782253052975",3,"3.50","Le Livre de Poche",,"250",,,2012/08/07,2010/10/09,"science-fiction, maison","science-fiction (#79), maison (#234)","read",,"",,,,,0,,,,,
5960314,"Trahison","Orson Scott Card","Card, Orson Scott","Florence Bury",="2841724174",="9782841724178",5,"3.84",,,"",,1978,2012/07/26,2012/07/23,"science-fiction","science-fiction (#506)","read",,"",,,,,0,,,,,
2432445,"Sans parler du chien","Connie Willis","Willis, Connie","",="2290303747",="9782290303740",4,"4.15","J'ai lu",,"",2000,1998,2012/07/20,2010/10/09,"science-fiction, maison","science-fiction (#270), maison (#378)","read",,"",,,,,0,,,,,
7906889,"L'Étoile de Pandore","Peter F. Hamilton","Hamilton, Peter F.","Nenad Savic",="2915549435",="9782915549430",4,"4.17","Bragelonne","Paperback","469",2005,2004,,2010/10/09,"science-fiction, maison","science-fiction (#436), maison (#157)","read","","",,,,,0,,,,,
7570300,"Stalker : Pique-Nique au Bord du Chemin","Arkady Strougatsky","Strougatsky, Arkady","",="2207260410",="9782207260418",3,"4.25","","Hardcover","222",,1972,2012/07/14,2010/10/09,"science-fiction, maison","science-fiction (#240), maison (#357)","read",,"",,,,,0,,,,,
9461330,"L'Âge des étoiles","Robert A. Heinlein","Heinlein, Robert A.","Hélène Bouboulis",="226601062X",="9782266010627",4,"3.83",,,"",,1956,2012/07/08,2010/10/09,"science-fiction, maison","science-fiction (#121), maison (#268)","read",,"",,,,,0,,,,,
849920,"Fictions","Jorge Luis Borges","Borges, Jorge Luis","P. Verdevoye, P. Ibarra",="2070366146",="9782070366149",5,"4.48","Gallimard","","185",1974,1944,,2010/10/09,"fantastique, maison","fantastique (#1), maison (#460)","read",,"",,,,,0,,,,,
2786383,"La Guerre éternelle (La Guerre éternelle, #1)","Joe Haldeman","Haldeman, Joe","",="2290308250",="9782290308257",5,"4.09","J'ai Lu","Paperback","281",2001,1974,,2010/10/09,"","","read",,"",,,,,0,,,,,
3354648,"Prisonniers Du Temps","Michael Crichton","Crichton, Michael","Patrick Berthon",="2744142131",="9782744142130",4,"3.68","Éd. France loisirs",,"619",2001,1999,2012/07/04,2010/10/09,"science-fiction, maison","science-fiction (#72), maison (#228)","read",,"",,,,,0,,,,,
846796,"Rendez Vous à La Grande Porte","Frederik Pohl","Pohl, Frederik","Bernadette Emerich, Michel Darroux",="2277220876",="9782277220879",4,"3.71",,,"",,1984,2012/06/28,2010/10/10,"science-fiction, maison","science-fiction (#392), maison (#396)","read",,"",,,,,0,,,,,
846794,"Les Annales Des Heechees","Frederik Pohl","Pohl, Frederik","Bernadette Emerich",="2277226327",="9782277226321",4,"3.65",,,"",,1987,,2010/10/09,"science-fiction, maison","science-fiction (#180), maison (#313)","read","","",,,,,0,,,,,
9482417,"Le Rivage des Femmes","Pamela Sargent","Sargent, Pamela","",="2253072028",="9782253072027",0,"3.80","Librairie générale française",,"666",1997,1986,,2010/10/09,"to-check, science-fiction, maison","to-check (#154), science-fiction (#195), maison (#323)","to-check",,"",,,,,0,,,,,
8645644,"hommes sans futur: roman","Pierre Pelot","Pelot, Pierre","",="2207305953",="9782207305959",3,"3.00","Denoël","Mass Market Paperback","235",1998,1998,2012/05/31,2010/10/09,"science-fiction, maison","science-fiction (#172), maison (#305)","read",,"",,,,,0,,,,,
6439270,"La vague","Todd Strasser","Strasser, Todd","",="2266185691",="9782266185691",3,"3.45","Distribooks","Paperback","",2010,1981,,2010/11/04,"maison, science-fiction","maison (#513), science-fiction (#503)","read","","","","","","",0,,,,,
1118629,"Le Code Enigma (Cryptonomicon, #1)","Neal Stephenson","Stephenson, Neal","Nela Stephenson",="2228893161",="9782228893169",5,"4.02",,,"",,,,2010/10/09,"science-fiction, maison, favorites","science-fiction (#296), maison (#47), favorites (#9)","read",,"",,,,,0,,,,,
6845919,"Pandore menacée (L'Étoile de Pandore, #2)","Peter F. Hamilton","Hamilton, Peter F.","Nenad Savic",="2811200363",="9782811200367",4,"4.05","Milady","Mass Market Paperback","704",2008,2004,,2010/10/09,"policier, maison","policier (#7), maison (#451)","read","","",,,,,0,,,,,
7922494,"Charisme","Michael G Coney","Coney, Michael G","",="2702101402",="9782702101407",0,"3.57","Calmann-Lévy",,"241",1976,1975,,2010/10/09,"to-check, science-fiction, maison","to-check (#54), science-fiction (#71), maison (#227)","to-check",,"",,,,,0,,,,,
11405197,"Créations Graphiques","John McWade","McWade, John","",="2744024139",="9782744024139",3,"3.00",,,"230",2010,2010,2012/05/13,2011/08/14,"currently-reading, maison, technique","currently-reading (#5), maison (#490), technique (#4)","currently-reading",,"",,,,,0,,,,,
1069827,"Release It!: Design and Deploy Production-Ready Software (Pragmatic Programmers)","Michael Nygard","Nygard, Michael","",="0978739213",="9780978739218",0,"4.25","Pragmatic Bookshelf","Paperback","326",2007,2007,,2012/05/14,"currently-reading","currently-reading (#10)","currently-reading",,"",,,,,0,,,,,
10883803,"Clojure Programming","Chas Emerick","Emerick, Chas","Brian Carper, Christophe Grand",="1449394701",="9781449394707",0,"4.31","O'Reilly Media","Paperback","630",2012,2011,,2012/05/14,"currently-reading","currently-reading (#9)","currently-reading",,"",,,,,0,,,,,
13010670,"Programming Clojure","Stuart Halloway","Halloway, Stuart","Aaron Bedra",="1934356867",="9781934356869",0,"3.85","Pragmatic Bookshelf","Paperback","296",2012,2009,,2012/05/14,"currently-reading","currently-reading (#8)","currently-reading",,"",,,,,0,,,,,
3409580,"S'organiser Pour Réussir / Getting Things Done","David Allen","Allen, David","",="2848992093",="9782848992099",4,"3.97","Leduc.s éditions",,"287",2008,2001,2012/05/13,2011/08/15,"technique, maison","technique (#8), maison (#496)","read",,"",,,,,0,,,,,
6014350,"Les pilotes de la grande porte","Frederik Pohl","Pohl, Frederik","",="2277218146",="9782277218142",4,"3.85","J'ai Lu - Collection Science Fiction",,"384",1995,1980,2012/05/11,2012/05/08,"","","read",,"",,,,,0,,,,,
6123547,"La grande porte","Frederik Pohl","Pohl, Frederik","",="2277216917",="9782277216919",4,"4.02","J'ai lu","Mass Market Paperback","317",1999,1976,2012/05/01,2012/04/28,"","","read",,"",,,,,0,,,,,
7708797,"L' Incident Jésus","Frank Herbert","Herbert, Frank","Bill Ransom",="2266028367",="9782266028363",3,"3.59","Presses Pocket",,"471",1989,1979,2012/04/21,2012/03/17,"maison, science-fiction","maison (#505), science-fiction (#497)","read",,"",,,,,0,,,,,
13626430,"La résistante","Elizabeth Moon","Moon, Elizabeth","",="2290052191",="",4,"3.93","J'ai Lu - Collection Science Fiction","Paperback","381",1999,1996,2012/04/29,2012/04/29,"maison, science-fiction","maison (#515), science-fiction (#505)","read","","","","","","",0,,,,,
